"Report Name: Client Center Import Report"
"Report Time: April 2015,April 2015"
"Time Zone: (GMT-05:00) Eastern Time (US & Canada)"
"Last Completed Available Day: 5/1/2015 9:00:00 AM (GMT)"
"Last Completed Available Hour: 5/1/2015 9:00:00 AM (GMT)"
"Report Aggregation: Month"
"Report Filter: "
"Rows: 606"

"Month","Campaign ID","Campaign name","Keyword","Clicks","Impressions","Avg. position","Average CPC","Spend","CTR (%)"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","price of a grand piano","1","10","1.00","2.39","2.39","10.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","private music lessons","0","3","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","Roland digital piano","1","37","1.11","9.31","9.31","2.70"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","roland digital pianos","0","28","1.07","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","samick digital piano","1","11","1.09","1.77","1.77","9.09"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","sheet music","1","66","5.23","0.17","0.17","1.52"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","sohmer pianos","0","1","1.00","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","top 10 digital pianos","2","52","1.00","3.28","6.56","3.85"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","used digital piano","1","11","1.00","0.68","0.68","9.09"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","used digital pianos for sale","1","18","1.00","4.70","4.70","5.56"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","used grand piano","4","71","1.00","4.79","19.14","5.63"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","used grand piano prices","0","25","3.92","0.00","0.00","0.00"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","used grand pianos for sale","6","59","1.00","4.23","25.40","10.17"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","Used Piano","3","19","1.00","4.81","14.43","15.79"
"April 2015","3118873","Jay & Kay's Organ & Piano Co.","used pianos","5","59","1.00","2.04","10.18","8.47"
"April 2015","3118939","Allied Doors","ammar+garage+door","0","7","1.71","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","carriage+garage+doors","0","8","1.88","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","chi+garage+doors","0","27","1.33","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","costco+garage+doors","1","11","1.55","6.41","6.41","9.09"
"April 2015","3118939","Allied Doors","garage door repair","0","6","2.50","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","garage door repair in naples florida","2","26","1.88","6.08","12.15","7.69"
"April 2015","3118939","Allied Doors","garage doors fort myers","0","4","1.50","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","garage+door+remotes","0","5","4.00","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","garage+door+repair","1","36","2.25","2.39","2.39","2.78"
"April 2015","3118939","Allied Doors","hurricane resistant doors","2","22","2.55","7.56","15.12","9.09"
"April 2015","3118939","Allied Doors","liftmaster+garage+doors","0","7","4.43","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","new garage doors","0","2","1.00","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","overhead+garage+doors","0","15","1.87","0.00","0.00","0.00"
"April 2015","3118939","Allied Doors","wood+garage+ doors","3","34","1.65","9.82","29.45","8.82"
"April 2015","3139195","Corey Compressor","air compressor","0","101","1.01","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","air compressor accessories","2","19","2.53","7.73","15.46","10.53"
"April 2015","3139195","Corey Compressor","air compressor parts","0","32","1.84","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","air compressor tampa fl","0","12","1.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","air compressors","5","32","1.03","5.02","25.11","15.63"
"April 2015","3139195","Corey Compressor","air compressors parts","0","2","1.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","colelman powermate","0","3","1.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","commercial air compressors","0","10","2.20","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","compressor adapters","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","compressor maintenance","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","compressor parts","0","14","1.93","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","compressor piping","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","compressor sales","0","3","1.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","compressor service","1","2","1.00","7.80","7.80","50.00"
"April 2015","3139195","Corey Compressor","compressor tees","2","10","1.00","7.51","15.02","20.00"
"April 2015","3139195","Corey Compressor","for sale compressor","1","37","1.22","11.45","11.45","2.70"
"April 2015","3139195","Corey Compressor","husky air compressor parts","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","husky air compressor parts in tampa","2","7","1.14","6.19","12.37","28.57"
"April 2015","3139195","Corey Compressor","industrial air compressors","0","23","1.91","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","new air compressors","3","129","1.12","4.71","14.13","2.33"
"April 2015","3139195","Corey Compressor","online parts for compressors","3","15","1.20","3.82","11.45","20.00"
"April 2015","3139195","Corey Compressor","parts for compressors","1","6","1.33","4.92","4.92","16.67"
"April 2015","3139195","Corey Compressor","porter cable air compressor","0","14","1.21","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","push-in fittings","0","1","4.00","0.00","0.00","0.00"
"April 2015","3139195","Corey Compressor","sales of compressors","1","3","1.00","7.76","7.76","33.33"
"April 2015","3139195","Corey Compressor","used air compressors","0","10","1.90","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","cheap rental tent","0","18","1.50","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","creative events","0","6","1.00","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","event planning","0","66","1.47","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","event rentals","0","7","1.29","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","fort myers fl rental","0","63","3.17","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","fort myers rental","0","147","2.18","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","fort myers rentals","1","93","2.78","2.72","2.72","1.08"
"April 2015","3139198","Creative Events","fort myers tent rental","1","2","1.50","1.50","1.50","50.00"
"April 2015","3139198","Creative Events","ft myers rental","1","39","2.31","1.95","1.95","2.56"
"April 2015","3139198","Creative Events","naples rentals","2","115","3.40","2.01","4.02","1.74"
"April 2015","3139198","Creative Events","naples wedding rental","1","39","1.56","5.65","5.65","2.56"
"April 2015","3139198","Creative Events","party planner","5","78","1.09","2.15","10.76","6.41"
"April 2015","3139198","Creative Events","party rental","1","50","1.22","1.80","1.80","2.00"
"April 2015","3139198","Creative Events","party rental table chair","0","15","1.07","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","party rental wedding","0","27","1.00","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","party table rental","3","10","1.10","8.60","25.79","30.00"
"April 2015","3139198","Creative Events","party tents","1","402","3.01","3.73","3.73","0.25"
"April 2015","3139198","Creative Events","party tents rental","2","26","1.12","2.18","4.36","7.69"
"April 2015","3139198","Creative Events","rent wedding","0","5","1.40","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","rental companies","0","22","2.59","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","rental tents sale","0","1","2.00","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","rentals naples","0","47","2.11","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","renting tents","0","8","1.63","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","round table rental","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","table rental","4","32","1.03","3.49","13.94","12.50"
"April 2015","3139198","Creative Events","table tent rental","4","48","1.08","5.78","23.11","8.33"
"April 2015","3139198","Creative Events","tent rent","0","7","2.86","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","tent rental","2","66","1.36","2.33","4.66","3.03"
"April 2015","3139198","Creative Events","tent rental wedding","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","tent rents","0","10","2.40","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","wedding and events","0","15","2.47","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","wedding party rental","0","21","1.05","0.00","0.00","0.00"
"April 2015","3139198","Creative Events","wedding supplies rentals","1","10","1.00","3.12","3.12","10.00"
"April 2015","3139198","Creative Events","wedding supply rental","3","62","1.44","2.69","8.08","4.84"
"April 2015","3139198","Creative Events","wedding tents","3","48","1.19","2.75","8.24","6.25"
"April 2015","3139199","Dr. Farmer","+hip +replacement","0","21","3.48","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","+orthopedic +specialists of sw florida","3","20","1.00","1.53","4.59","15.00"
"April 2015","3139199","Dr. Farmer","+orthopedic +surgeon","2","24","2.00","1.57","3.13","8.33"
"April 2015","3139199","Dr. Farmer","+orthopedic +surgery","0","26","1.15","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","ACL/Ligament Tears","0","6","1.83","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","arthritic knee","0","4","4.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","best orthopedic surgeon","3","50","1.30","2.65","7.96","6.00"
"April 2015","3139199","Dr. Farmer","broken hip","0","2","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","fellowship trained orthopedic surgeon","0","9","1.33","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","fractured hip","0","8","1.38","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","hip pain","4","35","1.74","3.59","14.35","11.43"
"April 2015","3139199","Dr. Farmer","hip reconstruction","0","2","2.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","hip replacement doctor","0","2","1.50","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","hip surgeon","0","3","1.67","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","hip surgery","0","9","2.33","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","knee arthritis","1","86","3.42","3.53","3.53","1.16"
"April 2015","3139199","Dr. Farmer","knee injuries","0","14","2.14","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","knee meniscus","0","13","1.15","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","knee meniscus surgery","0","19","1.21","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","knee pain","2","144","2.21","3.16","6.32","1.39"
