Name,Automatic placement performance (domain) report CSV
Type,Automatic placement (domain)
Frequency,One time
Date range,Last month
Dates,"May 1, 2015-May 31, 2015"
Account,Domain,Customer ID,Clicks,Impressions,Campaign,Special category
Z-Stair Part Pros,topix.com,304-521-3327,0,35,Wrought Iron Search, --
Z-Stair Part Pros,stliwall.com,304-521-3327,0,29,Wrought Iron Search,Parked domains
Z-Stair Part Pros,rare.us,304-521-3327,0,6,Wrought Iron Search, --
Z-Stair Part Pros,wordplays.com,304-521-3327,0,152,Wrought Iron Search, --
Z-Stair Part Pros,myhouseidea.com,304-521-3327,0,7,Wrought Iron Search, --
Z-Stair Part Pros,waterfordwhispersnews.com,304-521-3327,0,18,Wrought Iron Search, --
Z-Stair Part Pros,lumberjocks.com,304-521-3327,0,43,Wrought Iron Search, --
Z-Stair Part Pros,ihomestart.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,shopperstop.us,304-521-3327,0,27,Wrought Iron Search, --
Z-Stair Part Pros,littlethings.com,304-521-3327,0,17,Wrought Iron Search, --
Z-Stair Part Pros,washingtonpost.com,304-521-3327,0,86,Wrought Iron Search, --
Z-Stair Part Pros,awesomeinventions.com,304-521-3327,0,7,Wrought Iron Search, --
Z-Stair Part Pros,deck-porch-railings.com,304-521-3327,0,19,Wrought Iron Search,Parked domains
Z-Stair Part Pros,metaldescent.com,304-521-3327,0,5,Wrought Iron Search,Parked domains
Z-Stair Part Pros,finishing.com,304-521-3327,1,1,Wrought Iron Search, --
Z-Stair Part Pros,wikihow.com,304-521-3327,0,89,Wrought Iron Search, --
Z-Stair Part Pros,sfgate.com,304-521-3327,0,116,Wrought Iron Search, --
Z-Stair Part Pros,motherearthnews.com,304-521-3327,0,28,Wrought Iron Search, --
Z-Stair Part Pros,canyouactually.com,304-521-3327,0,82,Wrought Iron Search, --
Z-Stair Part Pros,findinghomeonline.com,304-521-3327,0,15,Wrought Iron Search, --
Z-Stair Part Pros,answers.com,304-521-3327,0,139,Wrought Iron Search, --
Z-Stair Part Pros,rhymezone.com,304-521-3327,0,19,Wrought Iron Search, --
Z-Stair Part Pros,minecraftxl.com,304-521-3327,0,23,Wrought Iron Search, --
Z-Stair Part Pros,yesreads.com,304-521-3327,0,14,Wrought Iron Search, --
Z-Stair Part Pros,fanfiction.net,304-521-3327,0,67,Wrought Iron Search, --
Z-Stair Part Pros,charlestonironworks.com,304-521-3327,0,16,Wrought Iron Search,Parked domains
Z-Stair Part Pros,memdream.com,304-521-3327,1,1,Wrought Iron Search,Parked domains
Z-Stair Part Pros,moviemistakes.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,vancouversun.com,304-521-3327,0,6,Wrought Iron Search, --
Z-Stair Part Pros,any-read.net,304-521-3327,0,16,Wrought Iron Search, --
Z-Stair Part Pros,ironindustrialfenceinc.com,304-521-3327,0,18,Wrought Iron Search,Parked domains
Z-Stair Part Pros,amazinginteriordesign.com,304-521-3327,0,30,Wrought Iron Search, --
Z-Stair Part Pros,addictinginfo.org,304-521-3327,0,61,Wrought Iron Search, --
Z-Stair Part Pros,bobvila.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,kimsironworks.com,304-521-3327,0,5,Wrought Iron Search,Parked domains
Z-Stair Part Pros,wftv.com,304-521-3327,0,6,Wrought Iron Search, --
Z-Stair Part Pros,wpxi.com,304-521-3327,0,5,Wrought Iron Search, --
Z-Stair Part Pros,wordbyletter.com,304-521-3327,0,15,Wrought Iron Search, --
Z-Stair Part Pros,shareyourfreebies.com,304-521-3327,0,12,Wrought Iron Search, --
Z-Stair Part Pros,reads6.com,304-521-3327,0,11,Wrought Iron Search, --
Z-Stair Part Pros,wimp.com,304-521-3327,1,25,Wrought Iron Search, --
Z-Stair Part Pros,nydailynews.com,304-521-3327,0,23,Wrought Iron Search, --
Z-Stair Part Pros,bamargera.com,304-521-3327,0,22,Wrought Iron Search, --
Dr. Gross,everythingorganized.org,838-025-1455,1,1,Dr Gross, --
Dr. Gross,wellness.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,healthboards.com,838-025-1455,2,11,Dr Gross, --
Dr. Gross,lovelivehealth.com,838-025-1455,0,7,Dr Gross, --
Dr. Gross,healthy-holistic-living.com,838-025-1455,1,60,Dr Gross, --
Dr. Gross,medhelp.org,838-025-1455,0,22,Dr Gross, --
Dr. Gross,doctorslounge.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,howstuffworks.com,838-025-1455,1,48,Dr Gross, --
Dr. Gross,healthgrades.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,thrivinglifestylez.com,838-025-1455,0,7,Dr Gross, --
Dr. Gross,ehow.com,838-025-1455,2,46,Dr Gross, --
Dr. Gross,sciatica-pain.org,838-025-1455,1,2,Dr Gross, --
Dr. Gross,complete-health-and-happiness.com,838-025-1455,1,5,Dr Gross, --
Dr. Gross,life-saving-naturalcures-and-naturalremedies.com,838-025-1455,0,6,Dr Gross, --
Dr. Gross,webmd.com,838-025-1455,0,917,Dr Gross, --
Dr. Gross,md.com,838-025-1455,1,2,Dr Gross, --
Dr. Gross,epainassist.com,838-025-1455,1,2,Dr Gross, --
Dr. Gross,bestherbalhealth.com,838-025-1455,0,20,Dr Gross, --
Dr. Gross,trendingstylist.com,838-025-1455,2,17,Dr Gross, --
Dr. Gross,top10homeremedies.com,838-025-1455,0,84,Dr Gross, --
Dr. Gross,newlifeoutlook.com,838-025-1455,0,16,Dr Gross, --
Dr. Gross,powerofpositivity.com,838-025-1455,1,1,Dr Gross, --
Dr. Gross,everydayroots.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,medicinenet.com,838-025-1455,1,434,Dr Gross, --
Dr. Gross,freemd.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,everydayhealth.com,838-025-1455,1,446,Dr Gross, --
Dr. Gross,fibromyalgialiving.today,838-025-1455,0,9,Dr Gross, --
Dr. Gross,medicalnewstoday.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,activebeat.co,838-025-1455,0,45,Dr Gross, --
Dr. Gross,drugs.com,838-025-1455,15,2985,Dr Gross, --
Dr. Gross,forharriet.com,838-025-1455,0,22,Dr Gross, --
Dr. Gross,patient.co.uk,838-025-1455,0,58,Dr Gross, --
Dr. Gross,healthiculture.com,838-025-1455,0,13,Dr Gross, --
Dr. Gross,budget101.com,838-025-1455,0,110,Dr Gross, --
Dr. Gross,findhomeremedy.com,838-025-1455,1,7,Dr Gross, --
Dr. Gross,rxlist.com,838-025-1455,0,102,Dr Gross, --
Dr. Gross,foot-pain-explored.com,838-025-1455,0,7,Dr Gross, --
Dr. Gross,advfn.com,838-025-1455,0,44,Dr Gross, --
Dr. Gross,spine-health.com,838-025-1455,10,1843,Dr Gross, --
Dr. Gross,myfitnesspal.com,838-025-1455,0,6,Dr Gross, --
Dr. Gross,steadyhealth.com,838-025-1455,0,16,Dr Gross, --
Dr. Gross,themindunleashed.org,838-025-1455,1,37,Dr Gross, --
